PID,Rep,L_Midfoot_X,L_Midfoot_Y,L_Midfoot_Z,R_Midfoot_X,R_Midfoot_Y,R_Midfoot_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,R_KneeAngle_X,R_KneeAngle_Y,R_KneeAngle_Z,L_KneeAngle_X,L_KneeAngle_Y,L_KneeAngle_Z
mV008,8,-0.178365,0.27267,0.028283,-0.21055,-0.176789,0.022792,-0.526579,-0.047635,0.595656,-0.109126,-0.134401,0.450964,-0.314547,-0.099327,0.097483,-0.488839,0.220895,0.58847,-0.076559,0.258156,0.449439,-0.28523,0.19909,0.0931,9.851225,100.123024,0.878325,-8.354947,93.814438,-2.464958
mV008,9,-0.22206,0.285227,0.029307,-0.226843,-0.185462,0.026922,-0.576714,-0.062345,0.649991,-0.168599,-0.139791,0.470404,-0.336413,-0.110382,0.095856,-0.53506,0.203815,0.627597,-0.131965,0.236098,0.457812,-0.329723,0.212021,0.093222,9.038132,89.640633,-0.704477,-8.316978,87.633629,0.708498
mV008,10,-0.192553,0.297777,0.029526,-0.225839,-0.165787,0.022299,-0.534043,-0.073181,0.641092,-0.127406,-0.121718,0.451735,-0.335283,-0.097391,0.098053,-0.515114,0.19694,0.626607,-0.112935,0.262903,0.463169,-0.301791,0.227764,0.09434,9.404336,93.993011,0.145384,-8.404396,87.801086,-1.739686
mV014,1,0.045787,0.188913,0.013311,0.043136,-0.193142,0.018915,-0.123401,-0.144367,0.528258,0.18833,-0.192343,0.331038,-0.047696,-0.163471,0.091553,-0.125017,0.131769,0.531835,0.184645,0.195825,0.344548,-0.038095,0.155746,0.095615,3.593127,96.081505,-0.975071,-6.889949,98.835823,-6.341134
mV014,2,0.101796,0.221405,0.013441,0.076861,-0.188376,0.018534,-0.086794,-0.115473,0.506829,0.231346,-0.178505,0.325695,-0.007504,-0.140945,0.089528,-0.079517,0.157974,0.508616,0.243804,0.203412,0.341229,0.019643,0.176787,0.091992,4.154065,99.090286,-4.990812,-7.61831,101.384109,-1.82574
mV014,3,0.087857,0.243122,0.014302,0.07982,-0.220496,0.018323,-0.089388,-0.148063,0.506529,0.231414,-0.190272,0.325899,-0.009494,-0.181951,0.088639,-0.106947,0.12669,0.51495,0.209487,0.222547,0.356488,0.005016,0.194189,0.08949,3.817916,98.846886,-3.011485,-7.174344,98.77758,-4.617221
mV014,4,0.069502,0.24265,0.015346,0.051393,-0.199458,0.021305,-0.151451,-0.104822,0.52086,0.172719,-0.166413,0.348471,-0.04159,-0.159741,0.085987,-0.148141,0.170173,0.532861,0.17394,0.226442,0.364633,-0.015079,0.191057,0.086721,3.71481,94.632103,-1.783452,-7.704378,94.146996,-1.496478
mV014,5,0.131906,0.241631,0.014375,0.109125,-0.219319,0.019426,-0.059546,-0.128553,0.527741,0.249063,-0.203413,0.335702,0.018672,-0.181863,0.088869,-0.055269,0.147446,0.536907,0.253699,0.221143,0.355794,0.049666,0.190708,0.088898,3.607572,94.899452,-0.664105,-7.576929,94.693436,-2.810727
mV014,6,0.091368,0.210285,0.014681,0.075977,-0.229536,0.01937,-0.070506,-0.15792,0.538475,0.227402,-0.223472,0.330635,-0.010248,-0.187792,0.091689,-0.087268,0.118321,0.54916,0.21416,0.203794,0.358243,0.0104,0.160492,0.09133,3.771117,93.762703,-2.313257,-7.600195,93.223732,-3.035384
mV014,7,0.134731,0.217719,0.015134,0.10573,-0.220279,0.020699,-0.089912,-0.142384,0.524612,0.225236,-0.220636,0.348323,0.014426,-0.178051,0.086178,-0.084786,0.13485,0.534537,0.230823,0.212398,0.368253,0.04874,0.168637,0.086596,3.585125,94.328529,-0.089274,-7.441738,93.793076,-4.882591
mV014,8,0.09905,0.230376,0.015507,0.08303,-0.223356,0.020599,-0.09841,-0.148069,0.540594,0.204224,-0.230453,0.347466,-0.007427,-0.180661,0.086944,-0.104632,0.128649,0.553332,0.201536,0.207846,0.368033,0.016703,0.174479,0.086251,3.713113,91.690964,-0.054515,-7.731652,89.947662,-0.789494
mV014,9,0.079127,0.22613,0.014438,0.08286,-0.23236,0.019567,-0.08781,-0.172814,0.528871,0.211825,-0.26998,0.340229,-0.003059,-0.188117,0.090753,-0.08991,0.103712,0.530272,0.20847,0.211603,0.355179,0.002222,0.1693,0.090374,3.683654,94.903122,-1.505828,-7.62256,95.901421,-2.148324
mV014,10,0.093168,0.240648,0.015273,0.093349,-0.223015,0.020228,-0.077571,-0.144992,0.54304,0.227331,-0.204986,0.341321,0.003722,-0.180143,0.087578,-0.100645,0.130495,0.551648,0.204429,0.217511,0.363068,0.009633,0.189213,0.087982,3.841744,91.395073,-3.729052,-7.635825,91.513489,-3.476335
mV018,1,-0.103437,0.206625,0.013492,-0.090054,-0.182599,0.017354,-0.414277,-0.121713,0.47796,0.016686,-0.196154,0.409834,-0.21198,-0.148774,0.089266,-0.399632,0.139525,0.47511,0.025058,0.199823,0.416883,-0.208395,0.172775,0.090803,4.952021,118.852859,5.111134,-6.091876,119.362885,-0.579196
mV018,2,-0.149587,0.234244,0.011499,-0.148692,-0.152261,0.015423,-0.43442,-0.077535,0.506382,-0.014303,-0.173308,0.396023,-0.264237,-0.110106,0.093227,-0.398635,0.180239,0.488389,0.022295,0.19777,0.390754,-0.24878,0.194727,0.093585,4.918072,117.184479,5.269114,-8.274311,119.857353,2.91326
mV018,3,-0.198441,0.234251,0.012709,-0.187936,-0.188467,0.016641,-0.498373,-0.095935,0.483704,-0.071265,-0.180956,0.405171,-0.306718,-0.14421,0.088148,-0.481576,0.163211,0.478995,-0.058683,0.221014,0.409963,-0.301641,0.197226,0.090925,5.797582,118.001343,3.661748,-7.008833,119.348648,0.948173
mV018,4,-0.190094,0.218257,0.011853,-0.176428,-0.201186,0.015196,-0.46571,-0.110604,0.470656,-0.037122,-0.185773,0.390445,-0.293248,-0.156814,0.089798,-0.452016,0.14771,0.466103,-0.029509,0.204103,0.396531,-0.290614,0.177319,0.091594,5.863438,121.13578,3.575906,-7.594806,122.006836,1.398148
mV018,5,-0.179308,0.229634,0.012736,-0.174298,-0.195665,0.016836,-0.477214,-0.103002,0.438684,-0.045984,-0.189639,0.395721,-0.291338,-0.147035,0.088377,-0.457113,0.155648,0.436262,-0.032007,0.217568,0.405009,-0.280276,0.185422,0.090128,5.959759,124.509201,3.484678,-7.916644,125.089996,1.297035
mV018,6,-0.160364,0.21265,0.012629,-0.159049,-0.214577,0.015171,-0.436323,-0.12221,0.450597,-0.007851,-0.201307,0.380302,-0.273399,-0.163506,0.089313,-0.421069,0.135895,0.44631,0.002021,0.198995,0.395106,-0.259104,0.164255,0.090393,5.94968,124.153664,3.492309,-8.549983,124.303062,2.306479
mV018,7,-0.237951,0.210151,0.012967,-0.243017,-0.209908,0.015432,-0.536971,-0.129017,0.433213,-0.105547,-0.214176,0.388309,-0.357198,-0.156996,0.088536,-0.512103,0.129605,0.430811,-0.087254,0.191414,0.403947,-0.337119,0.161273,0.08988,6.254692,125.750587,3.119584,-8.622045,125.845619,2.080279
