PID,Rep,L_Midfoot_X,L_Midfoot_Y,L_Midfoot_Z,R_Midfoot_X,R_Midfoot_Y,R_Midfoot_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,R_KneeAngle_X,R_KneeAngle_Y,R_KneeAngle_Z,L_KneeAngle_X,L_KneeAngle_Y,L_KneeAngle_Z
mV014,6,0.060366,0.222566,0.013904,0.06311,-0.248609,0.019139,-0.13242,-0.160194,0.363184,0.190639,-0.30166,0.329244,-0.023537,-0.199248,0.085943,-0.154536,0.115602,0.358069,0.172453,0.260636,0.351053,-0.020549,0.168585,0.087721,0.463379,121.481857,1.891128,-3.89287,124.290924,-7.057561
mV014,7,0.06108,0.223623,0.014807,0.062171,-0.250377,0.019757,-0.12399,-0.161635,0.358837,0.197015,-0.303576,0.32486,-0.022755,-0.199075,0.087305,-0.155744,0.112528,0.365765,0.170143,0.260002,0.35239,-0.019145,0.165977,0.086579,0.725455,122.553017,1.232398,-4.086152,122.532013,-7.121231
mV014,8,0.061428,0.22462,0.014817,0.06272,-0.249901,0.019783,-0.115195,-0.164257,0.367348,0.199113,-0.314804,0.323099,-0.019587,-0.198748,0.090606,-0.149588,0.107567,0.369411,0.162288,0.277698,0.354036,-0.018301,0.167534,0.087581,1.217183,121.94194,0.578033,-3.599773,122.267433,-7.928212
mV014,9,0.061199,0.225378,0.014827,0.063743,-0.253505,0.022291,-0.154051,-0.163266,0.360688,0.158437,-0.328163,0.34291,-0.02412,-0.200443,0.084514,-0.161616,0.110725,0.354803,0.158535,0.262883,0.359128,-0.020328,0.16869,0.085891,0.835877,120.185646,1.573924,-4.233757,123.545792,-6.703186
mV014,10,0.061646,0.226451,0.015898,0.06374,-0.253247,0.022874,-0.152693,-0.158558,0.363296,0.153154,-0.33124,0.345781,-0.023802,-0.19931,0.084796,-0.173774,0.112923,0.363038,0.131009,0.290967,0.366638,-0.020862,0.170187,0.086162,0.801255,119.64109,1.761888,-4.118377,121.515129,-7.28287
mV018,1,-0.081022,0.230581,0.014755,-0.068217,-0.209496,0.018172,-0.415836,-0.121051,0.416414,0.015697,-0.21352,0.422869,-0.191673,-0.173135,0.086126,-0.400639,0.139663,0.4172,0.024161,0.220922,0.430375,-0.187716,0.19605,0.089339,4.868891,124.938385,4.971648,-5.904958,125.585487,-1.438738
mV018,2,-0.078714,0.227863,0.013346,-0.067896,-0.203867,0.015649,-0.360146,-0.1285,0.487554,0.064792,-0.207001,0.393478,-0.18804,-0.168545,0.089804,-0.354182,0.13337,0.491682,0.062195,0.21797,0.408344,-0.183533,0.194697,0.09114,4.242902,118.895027,6.319602,-5.455225,117.606598,-1.514086
mV018,3,-0.081131,0.23113,0.015203,-0.068686,-0.209293,0.019121,-0.430058,-0.11532,0.438456,0.001063,-0.216115,0.430097,-0.192583,-0.171331,0.085376,-0.407306,0.145926,0.435829,0.017183,0.224933,0.433364,-0.1888,0.198231,0.089121,5.03442,121.045662,4.875421,-6.071206,122.748146,-0.961192
mV018,4,-0.080381,0.231738,0.01412,-0.068873,-0.208847,0.017867,-0.406121,-0.103149,0.423996,0.023569,-0.205962,0.418535,-0.190196,-0.165826,0.085772,-0.386387,0.156906,0.425471,0.03883,0.230251,0.421103,-0.18635,0.196931,0.089605,5.079634,124.167198,4.706016,-6.569051,125.323669,-0.533301
mV018,5,-0.080346,0.230843,0.013566,-0.069356,-0.206536,0.016582,-0.38431,-0.112769,0.447179,0.047797,-0.194585,0.404466,-0.1896,-0.165857,0.087771,-0.374096,0.147479,0.447087,0.049586,0.224741,0.414938,-0.185529,0.195328,0.089817,4.920841,122.831116,4.977475,-6.14803,122.938667,-0.867609
